ID;Hora de inicio;Hora de finalización;Correo electrónico;Nombre;Hora de la última modificación;Indícanos tu sede;¿Con qué frecuencia asistes a las ayudantías de tus cursos actuales?;¿Cuál o cuáles son las principales razones por la que no asistes o asistes poco a ayudantía?; Cuando no usas la ayudantía oficial, ¿qué utilizas para estudiar?;Utilidad real: ¿Cuánto te sirven para aprender la materia?;Comodidad: ¿Qué tan cómodo(a) te sientes haciendo preguntas?;Claridad: ¿Qué tan claro es el ayudante al explicar?;Preparación: ¿Qué tanto te preparan para las evaluaciones (pruebas/exámenes)?;¿Has notado diferencias grandes en la calidad o criterios entre distintos ayudantes de un mismo curso? ;(Opcional) Cuéntanos brevemente qué diferencia notaste;¿Qué tan alineada sientes la ayudantía con lo que ves en clases con el profesor?;Column;Si has tenido problemas con una corrección, ¿cómo fue la resolución?;¿Qué modalidad te sirve más para una ayudantía? (Tipo: Opción única);¿En qué horario es más probable que asistas a una ayudantía? (Tipo: Opción única);¿Qué formato de ayudantía es el que más te ayuda a aprender? (Tipo: Opción única);Para ti, ¿qué es lo más importante que debería tener una ayudantía para ser útil? (Tipo: Texto);Si pudieras cambiar UNA sola cosa de las ayudantías de ICI hoy, ¿qué sería? (Tipo: Texto);¿Alguna vez has sido ayudante en la UAI? (Tipo: Opción única);¿Cuál es la razón principal por la que NO has sido ayudante? (Tipo: Máximo 3 opciones);(Opcional) Comentarios sobre las ayudantias en la actualidad
1;1-15-26 15:33:54;1-15-26 15:36:04;anonymous;;;;75%;;"IA (ChatGPT, Claude, etc.);Grupo de estudio con amigos;Apuntes propios o de compañeros;";4;3;5;4;Sí, hay mucha diferencia;;8;4;Se resolvió, pero fue un proceso lento o difícil.;Asincrónica (Cápsulas/Material grabado + espacio de dudas);Mañana;Resolución de ejercicios tipo prueba (intensivo);Paciencia;Modalidad;Sí;;Baja asistencia cuando son presenciales. Alumnos prefieren cápsulas.
2;1-15-26 15:33:50;1-15-26 15:36:14;anonymous;;;;25%;"Prefiero estudiar por mi cuenta;Mal ayudante / No se entiende;Logística / Traslado a la sede;Modalidad (ej. es online y prefiero presencial, o viceversa);";"IA (ChatGPT, Claude, etc.);Videos (YouTube, grabaciones de años anteriores);";3;2;2;3;Sí, hay mucha diferencia;;6;2;No se resolvió satisfactoriamente.;100% Online sincrónica (Zoom/Teams en vivo);Mañana;Resolución de ejercicios tipo prueba (intensivo);Ejercicios bien explicados;Que sean online todas;No;"No me siento preparado/a técnicamente;";
3;1-15-26 15:34:31;1-15-26 15:36:18;anonymous;;;;25%;"Horario (tope o inconveniente);No me sirve / No aporta valor;Prefiero estudiar por mi cuenta;";"Apuntes propios o de compañeros;Videos (YouTube, grabaciones de años anteriores);";3;3;3;5;Sí, hay mucha diferencia;;6;3;Se resolvió, pero fue un proceso lento o difícil.;100% Online sincrónica (Zoom/Teams en vivo);Tarde;Resolución de ejercicios tipo prueba (intensivo);;;No;"No tengo tiempo por la carga académica;Los horarios de ayudantía no me acomodan;No me siento preparado/a técnicamente;";
4;1-15-26 15:33:55;1-15-26 15:36:48;anonymous;;;;100%;;"IA (ChatGPT, Claude, etc.);Apuntes propios o de compañeros;Videos (YouTube, grabaciones de años anteriores);";5;4;4;5;Sí, hay mucha diferencia;;7;5;Se resolvió, pero fue un proceso lento o difícil.;Asincrónica (Cápsulas/Material grabado + espacio de dudas);Vespertino (Después de las 18:00);Resolución de ejercicios tipo prueba (intensivo);que el ayudante esté alineado a la materia del profesor ;que sean online, debido a que los horarios son muy tardes ;No;"El pago/incentivo económico es bajo;";por favor que sean online 
5;1-15-26 15:34:02;1-15-26 15:37:05;anonymous;;;;0%;"Horario (tope o inconveniente);Modalidad (ej. es online y prefiero presencial, o viceversa);";"Grupo de estudio con amigos;IA (ChatGPT, Claude, etc.);Videos (YouTube, grabaciones de años anteriores);Apuntes propios o de compañeros;";4;3;4;4;Sí, hay mucha diferencia;;7;2;No aplica / No he tenido problemas.;100% Online sincrónica (Zoom/Teams en vivo);Vespertino (Después de las 18:00);Resolución de ejercicios tipo prueba (intensivo);;;No;"Los horarios de ayudantía no me acomodan;El pago/incentivo económico es bajo;";
6;1-15-26 15:34:14;1-15-26 15:37:10;anonymous;;;;100%;;"Apuntes propios o de compañeros;Videos (YouTube, grabaciones de años anteriores);IA (ChatGPT, Claude, etc.);Grupo de estudio con amigos;Tutorías externas pagadas;";5;1;3;5;Sí, hay mucha diferencia;;10;5;Se resolvió rápido y de forma clara.;Asincrónica (Cápsulas/Material grabado + espacio de dudas);Vespertino (Después de las 18:00);Repaso de materia (resumen) + Práctica;buen ayudante y que sepa lo que hace;nada;Sí;;pagan poco
7;1-15-26 15:34:14;1-15-26 15:37:11;anonymous;;;;0%;"Me apoyo en otras herramientas (IA, videos externos, apuntes);";"IA (ChatGPT, Claude, etc.);Videos (YouTube, grabaciones de años anteriores);";1;5;4;2;No, es bastante homogéneo;;7;3;Se resolvió rápido y de forma clara.;Asincrónica (Cápsulas/Material grabado + espacio de dudas);Vespertino (Después de las 18:00);Resolución de ejercicios tipo prueba (intensivo);Ejercicios de prueba hechos y explicados por el o la ayudante;Que sean todas grabadas;Sí;;
8;1-15-26 15:34:58;1-15-26 15:37:29;anonymous;;;;25%;"No me sirve / No aporta valor;Prefiero estudiar por mi cuenta;Horario (tope o inconveniente);Logística / Traslado a la sede;";"Apuntes propios o de compañeros;Videos (YouTube, grabaciones de años anteriores);IA (ChatGPT, Claude, etc.);Grupo de estudio con amigos;";4;2;4;5;No, es bastante homogéneo;;9;5;Se resolvió rápido y de forma clara.;Asincrónica (Cápsulas/Material grabado + espacio de dudas);Mañana;Resolución de ejercicios tipo prueba (intensivo);Ejercicios;Horarios;Sí;;
9;1-15-26 15:34:09;1-15-26 15:37:43;anonymous;;;;0%;"Prefiero estudiar por mi cuenta;Me apoyo en otras herramientas (IA, videos externos, apuntes);Modalidad (ej. es online y prefiero presencial, o viceversa);";"Apuntes propios o de compañeros;IA (ChatGPT, Claude, etc.);Grupo de estudio con amigos;";1;3;4;3;Sí, hay mucha diferencia;;7;4;Se resolvió rápido y de forma clara.;100% Presencial;Mañana;Repaso de materia (resumen) + Práctica;Ser presencial y tener la posibilidad de resolver dudas concretas;Presencialidad;Sí;;El formato online solo ha ayudado a disminuir la participación y asistencia a ayudantías, por lo que la calidad no es la misma
10;1-15-26 15:33:56;1-15-26 15:38:26;anonymous;;;;25%;"Horario (tope o inconveniente);Mal ayudante / No se entiende;Prefiero estudiar por mi cuenta;Modalidad (ej. es online y prefiero presencial, o viceversa);";"Apuntes propios o de compañeros;IA (ChatGPT, Claude, etc.);Videos (YouTube, grabaciones de años anteriores);";3;1;4;4;Sí, hay mucha diferencia;es más q nada como la letra y el orden de explicar las cosas ;6;4;Se resolvió, pero fue un proceso lento o difícil.;100% Online sincrónica (Zoom/Teams en vivo);Tarde;Resolución de ejercicios tipo prueba (intensivo);Que sepa responder dudas, se sea pausado (no tan rápido), con buena letra y ordenado ;el horario;No;"No tengo tiempo por la carga académica;";
